name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Corsair Vengeance RGB RT 16 GB,59.99,"4,3600","2,8",3.749375,Black,10.0,18.0,DDR4,3600,2,8,16
Mushkin Silverline 16 GB,107.12,"4,2133","1,16",6.695,Silver,14.065,15.0,DDR4,2133,1,16,16
Silicon Power SP032GBLFU320X02 32 GB,,"4,3200","1,32",,Unknown,13.75,22.0,DDR4,3200,1,32,32
Kingston ValueRAM 8 GB,,"5,4800","1,8",,Green,16.667,40.0,DDR5,4800,1,8,8
Kingston FURY 32 GB,139.84,"5,5200","1,32",4.37,White,15.385,40.0,DDR5,5200,1,32,32
ADATA XPG LANCER RGB 16 GB,,"5,6000","1,16",,White,10.0,30.0,DDR5,6000,1,16,16
Silicon Power XPOWER Pulse Gaming 32 GB,107.82,"5,5600","2,16",3.369375,Black / White,14.286,40.0,DDR5,5600,2,16,32
Kingston FURY Beast 32 GB,144.15,"5,6400","1,32",4.5046875,White,10.0,32.0,DDR5,6400,1,32,32
ADATA XPG LANCER NEON RGB 32 GB,,"5,7200","2,16",,Black,9.444,34.0,DDR5,7200,2,16,32
G.Skill Ripjaws X 16 GB,,"3,2133","2,8",,Black / Blue,8.439,9.0,DDR3,2133,2,8,16
Kingston KVR13N9S8/4 4 GB,15.52,"3,1333","1,4",3.88,Green,13.503,9.0,DDR3,1333,1,4,4
Patriot Viper 3 32 GB,184.17,"3,1866","4,8",5.7553125,Black / Silver,10.718,10.0,DDR3,1866,4,8,32
Kingston KVR13N9K3/24 24 GB,99.99,"3,1333","3,8",4.16625,Green,13.503,9.0,DDR3,1333,3,8,24
Kingston HyperX Fury 8 GB,,"3,1600","2,4",,Red / Silver,12.5,10.0,DDR3,1600,2,4,8
Corsair Dominator Platinum 64 GB,,"3,2400","8,8",,Black / Silver,7.5,9.0,DDR3,2400,8,8,64
G.Skill Trident Z 16 GB,,"4,3000","2,8",,Red / Silver,10.0,15.0,DDR4,3000,2,8,16
G.Skill Ripjaws V 16 GB,,"4,2400","2,8",,Silver,12.5,15.0,DDR4,2400,2,8,16
GeIL Dragon RAM 16 GB,,"4,3200","2,8",,White / Gold,10.0,16.0,DDR4,3200,2,8,16
Crucial CT4K16G4DFD8213 64 GB,359.96,"4,2133","4,16",5.624375,Black / Green,14.065,15.0,DDR4,2133,4,16,64
Corsair Vengeance LED 16 GB,,"4,3000","2,8",,Black / Red,10.0,15.0,DDR4,3000,2,8,16
Crucial Ballistix Sport LT 8 GB,,"4,2400","2,4",,Red,13.333,16.0,DDR4,2400,2,4,8
Crucial CT9029050 32 GB,,"4,2400","2,16",,Green,14.167,17.0,DDR4,2400,2,16,32
ADATA XPG SPECTRIX D41 16 GB,,"4,3600","2,8",,Black,9.444,17.0,DDR4,3600,2,8,16
Crucial Ballistix Sport LT 32 GB,,"4,3200","2,16",,Silver / Black,10.0,16.0,DDR4,3200,2,16,32
TEAMGROUP T-Force Vulcan Z 32 GB,,"4,3000","2,16",,Silver / Black,10.667,16.0,DDR4,3000,2,16,32
