name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Crucial CT16G4RFS4293 16 GB,43.75,"4,2933","1,16",2.734375,Green / Black,14.32,21.0,DDR4,2933,1,16,16
Supermicro MEM-DR432L-HL01-ER26 32 GB,79.95,"4,2666","1,32",2.4984375,Green / Black,14.254,19.0,DDR4,2666,1,32,32
PNY Performance 16 GB,60.06,"4,2666","1,16",3.75375,Black,14.254,19.0,DDR4,2666,1,16,16
Kingston Server Premier 8 GB,65.98,"4,3200","1,8",8.2475,Unknown,13.75,22.0,DDR4,3200,1,8,8
Kingston Server Premier 32 GB,184.99,"4,3200","1,32",5.7809375,Unknown,13.75,22.0,DDR4,3200,1,32,32
Kingston ValueRAM 4 GB,17.04,"4,2666","1,4",4.26,Unknown,14.254,19.0,DDR4,2666,1,4,4
Corsair Dominator Platinum RGB 16 GB,132.44,"4,4000","2,8",8.2775,Black,9.0,18.0,DDR4,4000,2,8,16
Mushkin Redline Lumina 16 GB,66.98,"4,3600","2,8",4.18625,White,8.889,16.0,DDR4,3600,2,8,16
Mushkin Redline 16 GB,98.33,"4,4133","2,8",6.145625,White,9.194,19.0,DDR4,4133,2,8,16
Mushkin Redline 16 GB,76.86,"4,2800","2,8",4.80375,Black,12.143,17.0,DDR4,2800,2,8,16
Mushkin Redline 32 GB,264.42,"4,2666","2,16",8.263125,Red,12.003,16.0,DDR4,2666,2,16,32
Mushkin Redline 64 GB,493.68,"4,2800","2,32",7.71375,Red,12.143,17.0,DDR4,2800,2,32,64
Silicon Power SP008GBLFU240X02 8 GB,29.01,"4,2400","1,8",3.62625,Unknown,14.167,17.0,DDR4,2400,1,8,8
TEAMGROUP Elite 32 GB,143.66,"5,5200","2,16",4.489375,Black,16.154,42.0,DDR5,5200,2,16,32
Kingston FURY 32 GB,138.99,"5,5600","1,32",4.3434375,White,14.286,40.0,DDR5,5600,1,32,32
Mushkin Enhanced Essentials 64 GB,230.7,"4,2933","2,32",3.6046875,Black,14.32,21.0,DDR4,2933,2,32,64
Mushkin MES4S266KF16GX2 32 GB,109.16,"4,2666","2,16",3.41125,Unknown,14.254,19.0,DDR4,2666,2,16,32
TEAMGROUP T-Create Master 128 GB,899.99,"5,6000","8,16",7.031171875,Black,10.667,32.0,DDR5,6000,8,16,128
TEAMGROUP T-Create Master 64 GB,549.99,"5,6800","4,16",8.59359375,Black,10.0,34.0,DDR5,6800,4,16,64
V-Color TRA516G60S832Q 64 GB,503.99,"5,6000","4,16",7.87484375,White,10.667,32.0,DDR5,6000,4,16,64
