name,price,socket,form_factor,max_memory,memory_slots,color,has_integrated_cpu,primary_socket,ram_type,price_is_predicted
Asus ROG MAXIMUS XI HERO,,LGA1151,ATX,128,4,Black / Silver,False,LGA1151,DDR4,False
ASRock A320M-DVS R4.0,205.4744741832139,AM4,Micro ATX,32,2,Black / Silver,False,AM4,DDR4,True
Asus TUF GAMING B460-PLUS,293.39534270247475,LGA1200,ATX,128,4,Black / Gold,False,LGA1200,DDR4,True
ASRock B660M Phantom Gaming 4,196.832694431107,LGA1700,Micro ATX,128,4,Silver / Black,False,LGA1700,DDR5,True
MSI B760M GAMING WIFI,162.08828776653243,LGA1700,Micro ATX,96,2,Silver / Black,False,LGA1700,DDR5,True
Asus TUF GAMING Z490-PLUS,447.81187181356427,LGA1200,ATX,128,4,Black,False,LGA1200,DDR4,True
MSI MAG B560 TORPEDO,217.93691729337706,LGA1200,ATX,128,4,Black / Blue,False,LGA1200,DDR4,True
Asus ROG STRIX Z690-G GAMING WIFI,415.4126975510071,LGA1700,Micro ATX,128,4,Black / Silver,False,LGA1700,DDR5,True
Intel DG45FC,,LGA775,Mini ITX,4,2,Blue / Silver,False,LGA775,DDR2,False
Gigabyte H370 AORUS Gaming 3 WIFI,204.99681400953403,LGA1151,ATX,64,4,Black / Orange,False,LGA1151,DDR4,True
Asus PRIME Z890M-PLUS WIFI-CSM,249.7650803903643,LGA1851,Micro ATX,192,4,Black / Silver,False,LGA1851,DDR5,True
Gigabyte H810M S2H,131.33,LGA1851,Micro ATX,128,2,Gray / Black,False,LGA1851,DDR5,False
Gigabyte H610M D3W DDR4,147.89,LGA1700,Micro ATX,64,2,Black,False,LGA1700,DDR4,False
ASRock Z890 Taichi Lite,480.6,LGA1851,ATX,256,4,Silver / Black,False,LGA1851,DDR5,False
Gigabyte B860M EAGLE WIFI6,158.45448867468838,LGA1851,Micro ATX,128,2,Silver / Black,False,LGA1851,DDR5,True
ASRock B660 Pro RS,311.33,LGA1700,ATX,128,4,Gray / Black,False,LGA1700,DDR5,False
Asus Sabertooth Z77,277.7722293687419,LGA1155,ATX,32,4,Brown / Black,False,LGA1155,DDR3,True
Asus H110M-C/CSM,154.76993546184337,LGA1151,Micro ATX,32,2,Black / Gold,False,LGA1151,DDR4,True
Asus 970 PRO GAMING/AURA,,AM3+,ATX,32,4,Black / Red,False,AM3+,DDR3,False
Asus ROG STRIX B360-F GAMING,340.87908387122644,LGA1151,ATX,64,4,Black,False,LGA1151,DDR4,True
ASRock X570 Steel Legend WiFi ax,451.6075617287118,AM4,ATX,128,4,Black / Silver,False,AM4,DDR4,True
Gigabyte B550 VISION D,142.33379349783152,AM4,ATX,128,4,White / Black,False,AM4,DDR4,True
MSI PRO B550-P GEN3,142.33379349783152,AM4,ATX,128,4,Brown / Black,False,AM4,DDR4,True
ASRock B650M PG Riptide WiFi White,189.38458794492954,AM5,Micro ATX,256,4,White / Black,False,AM5,DDR5,True
Asus WS C246M PRO,185.0991521418887,LGA1151,Micro ATX,128,4,Black,False,LGA1151,DDR4,True
Gigabyte GA-F2A85XN-WIFI,107.21,FM2,Mini ITX,64,2,Black / Gray,False,FM2,DDR3,False
Asus Z97I-PLUS,185.72108631012833,LGA1150,Mini ITX,16,2,Black / Gold,False,LGA1150,DDR4,True
ASRock 970A-G/3.1,,AM3+/AM3,ATX,64,4,Black / Red,False,AM3+,DDR3,False
Gigabyte GA-AB350N-Gaming WIFI (rev. 1.0),,AM4,Mini ITX,32,2,Black / Red,False,AM4,DDR4,False
Gigabyte B550M S2H,116.67952728863528,AM4,Micro ATX,64,2,Black / Silver,False,AM4,DDR4,True
ASRock B450M Pro4-F R2.0,127.21639556887317,AM4,Micro ATX,128,4,Black,False,AM4,DDR4,True
Asus PRIME B550M-K ARGB-CSM,116.67952728863528,AM4,Micro ATX,64,2,Black,False,AM4,DDR4,True
Gigabyte Z790 AORUS XTREME X,381.27562082511207,LGA1700,EATX,192,4,Black,False,LGA1700,DDR5,True
Asus GRYPHON Z97,299.99,LGA1150,Micro ATX,32,4,Brown / Black,False,LGA1150,DDR4,False
Gigabyte Z490 AORUS ELITE AC,398.0,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,False
Asus PRIME Z690M-PLUS D4,272.0170913700854,LGA1700,Micro ATX,128,4,Silver / Black,False,LGA1700,DDR5,True
Asus ProArt Z690-CREATOR WIFI,449.99,LGA1700,ATX,192,4,Black / Copper,False,LGA1700,DDR5,False
Asus H61M-C,76.11414862375501,LGA1155,Micro ATX,16,2,Black / Blue,False,LGA1155,DDR3,True
Asus H110I-PLUS,154.76993546184337,LGA1151,Mini ITX,32,2,Black / Gold,False,LGA1151,DDR4,True
Asus PRIME H270M-PLUS,267.3138710391722,LGA1151,Micro ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Gigabyte H310M H,222.7650832135789,LGA1151,Micro ATX,32,2,Silver / Brown,False,LGA1151,DDR4,True
Asus TUF B450-Pro Gaming,232.03154584361417,AM4,ATX,64,4,Black,False,AM4,DDR4,True
Gigabyte B365 M AORUS ELITE,340.87908387122644,LGA1151,Micro ATX,64,4,Black / Orange,False,LGA1151,DDR4,True
Gigabyte GA-AB350M-DS3H V2,,AM4,Micro ATX,64,4,Black,False,AM4,DDR4,False
Asus ROG STRIX Z490-A GAMING,447.81187181356427,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,True
Asus PRIME H410M-K,122.03935540342692,LGA1200,Micro ATX,64,2,Black,False,LGA1200,DDR4,True
Asus TUF GAMING B450M-PRO S,199.6656886472724,AM4,Micro ATX,128,4,Black,False,AM4,DDR4,True
Asus PRIME H610M-A,130.4496284802125,LGA1700,Micro ATX,96,2,Silver / Black,False,LGA1700,DDR5,True
ASRock X570D4U,304.99,AM4,Micro ATX,128,4,Green,False,AM4,DDR4,False
MAXSUN iCraft B760M CROSS,183.50804380952263,LGA1700,Micro ATX,192,4,White / Pink,False,LGA1700,DDR5,True
MSI Z270 PC MATE,490.99,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,False
Asus Z87-Pro,373.6419394475414,LGA1150,ATX,32,4,Black / Gold,False,LGA1150,DDR4,True
Asus Rampage V Edition 10,,LGA2011-3,EATX,128,8,Black,False,LGA2011-3,DDR4,False
Asus STRIX Z270H,426.60558268528905,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Asus ROG Strix TRX40-E Gaming,,sTRX4,ATX,256,8,Black,False,sTRX4,DDR4,False
MSI 760GMA-P34(FX),84.54330441613868,AM3+,Micro ATX,16,2,Unknown,False,AM3+,DDR3,True
Gigabyte GA-H81M-DS2,98.1321249265184,LGA1150,Micro ATX,16,2,Black,False,LGA1150,DDR4,True
MSI Z170A GAMING PRO CARBON,470.3703393139184,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Biostar TB250-BTC,,LGA1151,ATX,32,2,Black / Yellow,False,LGA1151,DDR4,False
Asus TUF B360-Plus Gaming,340.87908387122644,LGA1151,ATX,64,4,Black / Gold,False,LGA1151,DDR4,True
MSI MEG X570 GODLIKE,486.1822367641556,AM4,EATX,128,4,Black,False,AM4,DDR4,True
Gigabyte H410M S2H,122.03935540342692,LGA1200,Micro ATX,64,2,Black / Silver,False,LGA1200,DDR4,True
MSI MAG B660 TOMAHAWK WIFI,251.95774303346505,LGA1700,ATX,192,4,Black / Silver,False,LGA1700,DDR5,True
Biostar A620MP-E PRO,,AM5,Micro ATX,192,4,Black / Silver,False,AM5,DDR5,False
ASRock A320M-ITX,205.4744741832139,AM4,Mini ITX,32,2,Black / Silver,False,AM4,DDR4,True
Asus MAXIMUS Z690 HERO EVA,415.4126975510071,LGA1700,ATX,128,4,Purple / Green,False,LGA1700,DDR5,True
MSI Z270 GAMING M3,453.5753305383476,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,True
MSI MAG B660M MORTAR MAX WIFI DDR4,196.832694431107,LGA1700,Micro ATX,128,4,Black / Silver,False,LGA1700,DDR4,True
MSI B360M PRO-VDH,227.20519752878113,LGA1151,Micro ATX,64,4,Black,False,LGA1151,DDR4,True
