name,price,type,color,psu,side_panel,external_volume,internal_35_bays,form_factor_family,has_builtin_psu,estimated_max_gpu_length,is_estimated_gpu_clearance
Circle CG830,,ATX Mid Tower,White / Black,0.0,Tempered Glass,45.8,3,ATX,True,350,True
Golden Field Z3,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
DIYPC Shadow-H3-ARGB,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,3,ATX,True,350,True
GameMax Black Diamond ARGB,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
SHARKOON REV 200,,ATX Mid Tower,Black,0.0,Tempered Glass,50.5,2,ATX,True,350,True
Apevia Prodigy,,MicroATX Mini Tower,Pink,0.0,Tempered Glass,32.5,2,MicroATX,True,300,True
Lian Li Q58 (PCIe 3.0),,Mini ITX Desktop,Black,0.0,Tempered Glass,14.5,0,Mini ITX,True,280,True
GAMDIAS ATHENA M2 ELITE,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Antec NX700,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Vetroo M01,,MicroATX Mid Tower,White / Black,0.0,Tempered Glass,36.6,2,MicroATX,True,330,True
Raidmax X616,,ATX Mid Tower,Black,0.0,Tempered Glass,42.9,2,ATX,True,350,True
OCPC MICRO,,MicroATX Mid Tower,Black,0.0,Unknown,12.7,0,MicroATX,True,330,True
Jonsbo D500,,ATX Full Tower,Black,0.0,Tempered Glass,90.8,10,ATX,True,400,True
Cooler Master Silencio S400 Sakura Limited Edition,,MicroATX Mini Tower,White / Pink,0.0,Tempered Glass,31.35,4,MicroATX,True,300,True
Apevia Guardian-M,,ATX Mid Tower,Black,0.0,Tempered Glass,39.5,2,ATX,True,350,True
Apevia Destiny Flow,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
GALAX REV-05,,ATX Full Tower,Black,0.0,Tempered Glass,39.5,2,ATX,True,400,True
GameMax Aero Mini Eco,,MicroATX Mini Tower,Black / White,0.0,Tempered Glass,31.5,2,MicroATX,True,300,True
EVOLVEO Nate 2,,ATX Mid Tower,Unknown,0.0,Acrylic,36.6,2,ATX,True,350,True
Inter-Tech C-703 Vision,,ATX Mid Tower,Black,0.0,Tempered Glass,56.4,2,ATX,True,350,True
SSUPD Meshroom S V2 w/PCIe 4.0 Riser,,MicroATX Mini Tower,Black,0.0,Mesh,14.9,2,MicroATX,True,300,True
SSUPD Meshroom S V2 w/PCIe 4.0 Riser,,MicroATX Mini Tower,White,0.0,Mesh,14.9,2,MicroATX,True,300,True
BitFenix CETO Premium,,ATX Mid Tower,White,0.0,Tempered Glass,49.0,3,ATX,True,350,True
In Win ModFree Base,179.0,ATX Full Tower,Black,0.0,Tempered Glass,57.2,1,ATX,True,400,True
GAMDIAS NESO P1,149.99,ATX Full Tower,Unknown,0.0,Tempered Glass,75.2,5,ATX,True,400,True
Silverstone FARA 313,,MicroATX Mid Tower,Black,0.0,Unknown,26.7,3,MicroATX,True,330,True
Azza Cast 808,,ATX Mid Tower,Black,0.0,Unknown,45.8,1,ATX,True,350,True
Jonsbo D40,,ATX Mid Tower,Silver / Black,0.0,Tempered Glass,31.6,3,ATX,True,350,True
Azza Octane A,99.99,ATX Mid Tower,Black,0.0,Tempered Glass,44.8,2,ATX,True,350,True
Silverstone FTZ01-E,200.69,Mini ITX Desktop,Black,0.0,Unknown,15.9,0,Mini ITX,True,280,True
Tempest Spectra RGB,,ATX Mid Tower,White / Black,0.0,Acrylic,45.8,2,ATX,True,350,True
Geometric Future Model 8,,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,57.5,3,ATX,True,350,True
Cooler Master MasterBox TD500 Mesh V2 Ryu,,ATX Mid Tower,White / Red,0.0,Tempered Glass,52.4,2,ATX,True,350,True
Aerocool CS-107,,MicroATX Mini Tower,Black,0.0,Tempered Glass,23.7,1,MicroATX,True,300,True
Jonsbo D400,,ATX Mid Tower,White,0.0,Tempered Glass,59.9,2,ATX,True,350,True
Cooler Master Elite 502,,ATX Mid Tower,White,0.0,Tempered Glass,52.4,2,ATX,True,350,True
Cooler Master MasterBox MB500 ARGB,,ATX Mid Tower,Black,0.0,Tempered Glass,49.5,2,ATX,True,350,True
Zalman R2,,ATX Mid Tower,White / Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
RAIJINTEK PAN Slim,,Mini ITX Desktop,White,0.0,Unknown,38.7,2,Mini ITX,True,280,True
Vetroo K1,,ATX Mid Tower,Silver,0.0,Tempered Glass,37.4,2,ATX,True,350,True
GameMax Revolt,,ATX Mid Tower,Black,0.0,Tempered Glass,40.7,2,ATX,True,350,True
Jonsbo U4 Pro,,ATX Mid Tower,White,0.0,Tempered Glass,34.5,1,ATX,True,350,True
Cooler Master Silencio 652S,,ATX Mid Tower,Black,0.0,Unknown,45.8,9,ATX,True,350,True
Supermicro S5,,ATX Mid Tower,Black / Red,0.0,Unknown,45.8,6,ATX,True,350,True
Thermaltake Level 20 HT Snow Edition,,ATX Full Tower,Unknown,0.0,Tempered Glass,144.3,4,ATX,True,400,True
BitFenix Nova Mesh SE,,ATX Mid Tower,White / Purple,0.0,Tempered Glass,36.1,2,ATX,True,350,True
Aerocool Tor Pro,,ATX Full Tower,Black,0.0,Tempered Glass,66.8,2,ATX,True,400,True
Antec Sonata III,,ATX Mid Tower,Black,500.0,Unknown,40.2,4,ATX,True,350,True
Antec Skeleton,,ATX Mini Tower,Silver / Black,0.0,Unknown,51.9,2,ATX,True,320,True
Cooler Master Cosmos S,,ATX Full Tower,Black / Gray,0.0,Unknown,99.2,4,ATX,True,400,True
Silverstone FT03,,MicroATX Mini Tower,Black,0.0,Unknown,32.2,3,MicroATX,True,300,True
Xigmatek Elysium,,ATX Full Tower,Black / Silver,0.0,Acrylic,93.9,8,ATX,True,400,True
nMEDIAPC HTPC 8000,,HTPC,Brown,0.0,Unknown,49.6,4,,True,250,True
NZXT Source 220,,ATX Mid Tower,Black,0.0,Unknown,43.4,8,ATX,True,350,True
Sentey SS1-2420,,MicroATX Slim,Black,250.0,Unknown,13.3,1,MicroATX,True,240,True
Lian Li PC-V650,,ATX Mini Tower,Silver,0.0,Unknown,38.2,7,ATX,True,320,True
NZXT Phantom 630,,ATX Full Tower,Gunmetal,0.0,Acrylic,92.0,6,ATX,True,400,True
Cooler Master Elite 330U,,ATX Mid Tower,Black,350.0,Unknown,40.7,5,ATX,True,350,True
Cooler Master Elite 344,,ATX Mini Tower,Silver,350.0,Unknown,28.2,5,ATX,True,320,True
Apevia X-Dreamer4,,ATX Mid Tower,Pink,0.0,Acrylic,43.1,4,ATX,True,350,True
Thermaltake Chaser A71,,ATX Full Tower,Black,0.0,Acrylic,66.3,5,ATX,True,400,True
Apevia X-Sniper2,,ATX Mid Tower,Black / Green,0.0,Acrylic,45.8,4,ATX,True,350,True
Fractal Design Arc XL,,ATX Full Tower,Black,0.0,Acrylic,72.8,8,ATX,True,400,True
Aerocool Strike-X One,,ATX Mid Tower,Black / Red,0.0,Unknown,45.8,6,ATX,True,350,True
NZXT Phantom,,ATX Full Tower,Black / Red,0.0,Unknown,74.3,7,ATX,True,400,True
Thermaltake Versa H23,,ATX Mid Tower,Black,0.0,Acrylic,43.7,3,ATX,True,350,True
Corsair Graphite Series 780T,,ATX Full Tower,Black / Yellow,0.0,Acrylic,109.9,6,ATX,True,400,True
Fractal Design Core 1300,,MicroATX Mini Tower,Black,0.0,Unknown,32.5,2,MicroATX,True,300,True
Corsair Carbide Series 330R Titanium Edition,,ATX Mid Tower,Black / Silver,0.0,Unknown,49.9,4,ATX,True,350,True
Raidmax Hyperion,,MicroATX Mid Tower,Black / Blue,0.0,Acrylic,35.4,5,MicroATX,True,330,True
Thermaltake Core X9 Snow Edition,,ATX Desktop,White,0.0,Acrylic,61.7,7,ATX,True,300,True
NZXT Noctis 450,,ATX Mid Tower,White / Blue,0.0,Acrylic,45.8,6,ATX,True,350,True
Aerocool Aero-800,,ATX Mid Tower,Black / White,0.0,Acrylic,45.8,2,ATX,True,350,True
NZXT H440,,ATX Mid Tower,White / Black,0.0,Acrylic,53.3,8,ATX,True,350,True
Antec P380,,ATX Full Tower,Black,0.0,Acrylic,74.8,8,ATX,True,400,True
Cooler Master MasterCase Maker 5,,ATX Mid Tower,Black,0.0,Acrylic,45.8,5,ATX,True,350,True
be quiet! Dark Base 900,,ATX Full Tower,Black,0.0,Acrylic,82.0,7,ATX,True,400,True
Rosewill B2-SPIRIT,,ATX Full Tower,Black,0.0,Acrylic,74.8,13,ATX,True,400,True
Cooler Master MasterCase Pro 3,,MicroATX Mini Tower,Black,0.0,Acrylic,55.4,2,MicroATX,True,300,True
NZXT H440 Hyper Beast,,ATX Mid Tower,Blue,0.0,Acrylic,53.3,8,ATX,True,350,True
Silverstone RL06,,ATX Mid Tower,Black / Red,0.0,Acrylic,43.4,3,ATX,True,350,True
SHARKOON TG5,,ATX Mid Tower,Black / Green,0.0,Acrylic,45.8,3,ATX,True,350,True
LC-Power 991B Lighthouse,,ATX Mid Tower,Black,0.0,Tempered Glass,51.6,3,ATX,True,350,True
Corsair Carbide Series SPEC OMEGA,,ATX Mid Tower,White / Black,0.0,Tempered Glass,45.8,3,ATX,True,350,True
Xigmatek Scorpio,,MicroATX Mid Tower,Black,0.0,Tempered Glass,30.1,2,MicroATX,True,330,True
Thermaltake Versa J23 RGB,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Fractal Design Define R6 USB-C,,ATX Mid Tower,Black / White,0.0,Unknown,56.7,6,ATX,True,350,True
Antec Dark Fleet DF500 RGB,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Rosewill CULLINAN MX-Red,,ATX Mid Tower,Black / Red,0.0,Tempered Glass,47.2,4,ATX,True,350,True
Silverstone CS280B,,Mini ITX Tower,Black / Silver,0.0,Unknown,18.1,0,Mini ITX,True,320,True
Thermaltake H100 TG,,ATX Mid Tower,Black,0.0,Tempered Glass,39.7,2,ATX,True,350,True
Rosewill SPECTRA X,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,5,ATX,True,350,True
Rosewill PRISM S,,ATX Mid Tower,Black,0.0,Tempered Glass,46.9,3,ATX,True,350,True
Antec NX500,,ATX Mid Tower,Black,0.0,Tempered Glass,47.4,2,ATX,True,350,True
MagniumGear Neo Silent,,ATX Mid Tower,Black,0.0,Tempered Glass,41.4,2,ATX,True,350,True
Jonsbo C3 Plus,,MicroATX Mini Tower,Silver,0.0,Tempered Glass,31.2,4,MicroATX,True,300,True
Maingear Vybe Mk. V,,ATX Mid Tower,Red / Black,0.0,Tempered Glass,38.4,2,ATX,True,350,True
BitFenix Dawn TG,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
MagniumGear NEO Qube,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Fractal Design Define 7,,ATX Mid Tower,Black / White,0.0,Unknown,62.4,6,ATX,True,350,True
Cougar MX330-G Air,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
FSP Group CMT230,,ATX Mid Tower,Black,0.0,Acrylic,36.9,2,ATX,True,350,True
SAMA Sama-3D,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Cooler Master MasterCase H500P Mesh ARGB,,ATX Mid Tower,Gray,0.0,Tempered Glass,71.4,2,ATX,True,350,True
RAIJINTEK PONOS MS,,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,3,ATX,True,350,True
Jonsbo U4,,ATX Mid Tower,Black,0.0,Tempered Glass,29.8,2,ATX,True,350,True
Apevia Predator,,ATX Mid Tower,Black,0.0,Tempered Glass,35.7,3,ATX,True,350,True
Fractal Design Define 7 Compact,,ATX Mid Tower,White,0.0,Unknown,42.5,2,ATX,True,350,True
SilentiumPC Signum SG1,,ATX Mid Tower,Black,0.0,Unknown,45.8,2,ATX,True,350,True
Jonsbo T8,,Mini ITX Desktop,Black,0.0,Tempered Glass,8.4,1,Mini ITX,True,280,True
Tempest Aura ARGB,,ATX Mid Tower,Black,0.0,Acrylic,45.8,2,ATX,True,350,True
GAMDIAS ARGUS E3,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
GAMDIAS ATHENA E1 ELITE,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
darkFlash DLC29,,ATX Mid Tower,Black,0.0,Unknown,38.6,2,ATX,True,350,True
MUSETEX Y4,,ATX Mid Tower,Black,0.0,Tempered Glass,32.9,2,ATX,True,350,True
Antec NX292,,ATX Mid Tower,White,0.0,Tempered Glass,37.6,2,ATX,True,350,True
CiT Dark Star,,ATX Mid Tower,Black,0.0,Acrylic,41.3,2,ATX,True,350,True
DIYPC ARGB-Q01,,MicroATX Mini Tower,Black,0.0,Tempered Glass,40.0,2,MicroATX,True,300,True
RAIJINTEK OPHION 7L,,Mini ITX Desktop,Black,0.0,Mesh,7.1,0,Mini ITX,True,280,True
Vetroo M05,,MicroATX Mid Tower,Pink,0.0,Tempered Glass,36.3,2,MicroATX,True,330,True
GameMax Brufen C3,,ATX Mid Tower,Black / Blue,0.0,Tempered Glass,42.2,2,ATX,True,350,True
GameMax Dragon Knight,,ATX Mid Tower,Black,0.0,Acrylic,59.1,8,ATX,True,350,True
GameMax G563,,ATX Mid Tower,Black,0.0,Acrylic,37.8,2,ATX,True,350,True
YEYIAN Phoenix,,ATX Mid Tower,Black,0.0,Tempered Glass,47.3,2,ATX,True,350,True
Xigmatek Cubi,,ATX Mid Tower,Black,0.0,Tempered Glass,62.8,2,ATX,True,350,True
SHARKOON Rebel C70G RGB,,ATX Mid Tower,Brown / White,0.0,Tempered Glass,54.5,3,ATX,True,350,True
Armoury C802,,ATX Mid Tower,Black,0.0,Tempered Glass,51.4,2,ATX,True,350,True
RAIJINTEK OPHION M EVO ALS,69.9,MicroATX Mid Tower,Black,0.0,Unknown,35.4,3,MicroATX,True,330,True
Geometric Future Model 2 The ARK,99.9,MicroATX Mini Tower,Gray / Black,0.0,Tempered Glass,40.7,1,MicroATX,True,300,True
iStarUSA S-917,211.96,Mini ITX Tower,Black,0.0,Unknown,28.2,0,Mini ITX,True,320,True
BitFenix Prodigy M 2022 ARGB,,MicroATX Mini Tower,Black / White,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
Silverstone FARA R1 PRO,108.86,ATX Mid Tower,White,0.0,Tempered Glass,36.0,1,ATX,True,350,True
Silverstone FARA 514X,,ATX Mid Tower,White,0.0,Tempered Glass,49.7,2,ATX,True,350,True
KOLINK Unity Solar Mesh ARGB,,ATX Mid Tower,White,0.0,Tempered Glass,42.3,2,ATX,True,350,True
Antec CX600M RGB,,MicroATX Mini Tower,Black,0.0,Tempered Glass,46.8,1,MicroATX,True,300,True
Cougar Spike,,MicroATX Mini Tower,Black,0.0,Unknown,28.2,2,MicroATX,True,300,True
Phanteks Enthoo EVOLV SHIFT X,,Mini ITX Tower,Black,0.0,Tinted Tempered Glass,18.1,2,Mini ITX,True,320,True
Cooler Master MasterBox K500 ARGB,,ATX Mid Tower,Black,0.0,Tempered Glass,46.9,2,ATX,True,350,True
Silverstone SETA Q1,,ATX Mid Tower,Black,0.0,Unknown,56.2,2,ATX,True,350,True
Silverstone GD06B,,HTPC,Black,0.0,Unknown,22.4,4,,True,250,True
RAIJINTEK OPHION,,Mini ITX Desktop,Black,0.0,Acrylic,15.9,1,Mini ITX,True,280,True
Cougar DarkBlader X5,177.76,ATX Mid Tower,White,0.0,Tempered Glass,50.0,2,ATX,True,350,True
Zalman R2,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Cougar MX430 Mesh RGB,,ATX Mid Tower,Black,0.0,Tempered Glass,37.6,2,ATX,True,350,True
Jonsbo U5,,ATX Mid Tower,Silver,0.0,Tempered Glass,40.3,2,ATX,True,350,True
Cougar Airface RGB,,ATX Mid Tower,White,0.0,Tempered Glass,43.6,2,ATX,True,350,True
RAIJINTEK PAEAN MINI,,Mini ITX Tower,Black,0.0,Tempered Glass,26.0,1,Mini ITX,True,320,True
